29,15909,40296,30903,87032,19128,78380,19039,5638,54396,12482,53922,36634,38771,31360,21038,70975,53813,34781,84332,37991,89522,22532,9410,62889,20609,11701,84887,35509,74820,0,31924,54279,16574,16780,36022,30767,45563,31449,24171,36938,18465,13598,29674,54485,6603,5703,23921,29452,45724,21170,48866,68916,24297,63633,29466,20759,89202,25453,41863,11898,45595,46856,8645,67623,38502,34802
30,30057,51376,52238,82691,51044,96353,25862,31910,60524,42962,69868,31897,70024,17149,41306,63224,74339,46231,97070,56277,90261,51618,36257,72736,49243,34840,89389,29306,91198,31924,0,57232,36910,37855,67928,49056,58693,55027,30570,58356,49585,39264,25926,64858,31222,37628,47641,35044,38920,52791,71572,85836,13248,68525,43942,45635,106013,45794,57946,43792,47406,76574,23697,80304,51611,61656
31,68203,16789,33451,136789,61663,47489,37772,48679,5954,63609,25795,25367,64238,71353,35648,118376,36483,20686,42255,27578,141667,48697,63599,18402,71863,43146,32408,81667,40997,54279,57232,0,70737,38744,72131,29194,18124,37393,74977,33390,54280,43734,31727,14280,60392,55689,38313,25610,20565,65795,39653,37505,63542,11320,26368,74379,54406,33590,23492,56915,9914,61005,55536,27532,19908,45510
32,7060,56847,46356,71950,23992,93248,34225,22211,70966,13603,69742,51515,45264,27832,37328,57358,68473,51352,100256,53823,73438,34648,8003,79328,14565,28206,101458,25850,90158,16574,36910,70737,0,33206,37930,46886,61929,46105,12683,52019,28290,29371,44094,70956,10375,17182,39155,45572,60711,22952,62890,84227,24629,80202,45999,8996,104229,41474,57953,20576,61843,55691,17078,83733,54978,47403
33,32440,23740,15383,103539,24339,62634,13293,11335,38168,24865,37441,26687,35733,43824,4400,86938,38599,18435,67698,21644,106296,16001,25513,46131,33167,5120,68397,50559,58656,16780,37855,38744,33206,0,38559,14178,28783,17383,40432,21701,18113,5229,22114,37749,23366,17036,9796,16522,34647,28228,34623,52811,35690,47377,12881,35764,73249,9168,25214,18472,31040,39747,21612,50906,21771,23899
34,43771,55342,38722,102809,16896,72747,50161,37221,69254,25968,57496,65242,12384,64428,39182,91872,50392,52240,85045,45505,100045,23879,33509,71483,23869,37539,95167,63766,72236,36022,67928,72131,37930,38559,0,43008,55979,35067,50611,40295,20571,33834,60323,64847,37660,30327,34328,54784,72916,15584,43488,66808,58929,77348,47087,30878,83568,39299,50287,24274,66963,24118,44324,71629,52233,28666
35,46566,12441,5119,117697,33046,48728,23204,25470,26929,36898,23262,27949,36037,57272,9790,101097,25376,9604,53571,7593,120232,19523,38990,32768,44529,19273,55835,64606,44543,30767,49056,29194,46886,14178,43008,0,15316,9517,54605,9684,25460,17529,27151,24641,37369,29999,9324,17382,32951,37208,22715,38733,49020,35730,6243,48319,59207,5438,11097,29418,24387,35545,35688,36875,9498,18502
36,61102,7414,17844,131992,47938,37859,34140,40068,13720,52215,11533,30594,47019,69512,24601,114832,19891,12554,39495,10475,135067,33773,54114,17468,59791,33876,40618,77998,32507,45563,58693,18124,61929,28783,55979,15316,0,20957,68889,15920,40278,32705,33501,9371,52143,45226,24350,23678,31239,52084,21841,27256,61246,21371,16487,63631,47320,20724,5741,44706,18872,42976,49488,22493,7420,28131
37,47222,20765,4401,117968,27994,47166,29538,27073,34208,34270,24736,37130,26947,60937,13728,102384,22438,19015,54942,10494,119326,13425,38116,37266,40831,21563,60966,66785,44135,31449,55027,37393,46105,17383,35067,9517,20957,0,55572,6197,20429,18063,35482,30031,37770,28966,7786,26289,42459,32025,17524,38204,52908,42323,15471,45740,58125,9580,15337,26430,33629,26064,38133,39268,17570,8986
38,8397,62948,55053,63129,36319,102551,37212,29154,76157,25818,77860,52836,57715,17164,44814,46813,77971,57253,108105,61989,66743,45456,18862,85875,27066,35333,106807,13170,98926,24171,30570,74977,12683,40432,50611,54605,68889,55572,0,61109,39719,37759,45241,77419,17823,27140,48092,49371,61806,35575,72893,93036,17325,85274,52442,20687,113359,49423,65639,31892,65450,67806,19612,91246,61593,58165
39,52815,17522,6321,123762,34156,41446,32518,32229,29570,40405,18547,37198,31103,65522,17524,107906,16969,17500,48762,5838,125345,19579,44016,31411,47029,26374,55147,71972,38140,36938,58356,33390,52019,21701,40295,9684,15920,6197,61109,0,26617,23365,36816,24554,43382,34840,13021,26929,41292,38162,13215,32208,57367,37168,15795,51893,52314,12742,10181,32571,31090,27963,43109,33089,14410,12221
